Name,SMILES,Description,xyz,zmat
formic acid,C(=O)O,"Formic acid is the simplest carboxylic acid, containing a single carbon. Occurs naturally in various sources including the venom of bee and ant stings, and is a useful organic synthetic reagent. Principally used as a preservative and antibacterial agent in livestock feed. Induces severe metabolic acidosis and ocular injury in human subjects. It has a role as an antibacterial agent, a protic solvent, a metabolite, a solvent and an astringent. It is a conjugate acid of a formate.","5

C          0.87346        0.07397       -0.04598
O          0.21546       -0.61279        0.71385
O          0.30474        0.88933       -0.94808
H          1.97056        0.12254       -0.09971
H         -0.66091        0.77703       -0.82384
","!Put Keywords Here, check Charge and Multiplicity.
#

 

0  1
C
O  1  1.2173
O  1  1.3424  2  122.22
H  1  1.0995  2  126.50  3  180.00
H  3  0.9801  1  105.23  2  0.00"
2-aminooxyacetate,C(C(=O)[O-])ON,"(aminooxy)acetate is a monocarboxylic acid anion that is the conjugate base of (aminooxy)acetic acid, resulting from the deprotonation of the carboxy group. Major microspecies at pH 7.3. It is a conjugate base of an (aminooxy)acetic acid.","10

C          1.02454        0.06559        0.16337
C          0.48111        0.52220        1.53410
O         -0.37085        1.44546        1.58497
O          0.96090       -0.15412        2.50556
O          0.58603        0.85298       -0.96028
N          1.14635        2.19857       -0.88472
H          0.66156       -0.95607       -0.00934
H          2.12025        0.01595        0.16694
H          2.13364        2.05389       -1.05662
H          0.71872        2.62620       -1.69974
","!Put Keywords Here, check Charge and Multiplicity.
#

 

-1  1
C
C  1  1.5436
O  2  1.2573  1  119.45
O  2  1.2772  1  112.74  3  178.11
O  1  1.4404  2  115.08  3  5.89
N  5  1.4596  1  110.29  2  67.11
H  1  1.0979  2  107.37  3  247.44
H  1  1.0968  2  111.23  3  130.95
H  6  1.0125  5  103.52  1  69.22
H  6  1.0149  5  100.67  1  182.52"
2-aminooxyacetic acid,C(C(=O)O)ON,"(aminooxy)acetic acid is a member of the class of hydroxylamines that is acetic acid substituted at postion 2 by an aminooxy group. It is a compound which inhibits aminobutyrate aminotransferase activity in vivo, resulting in increased levels of gamma-aminobutyric acid in tissues. It has a role as a nootropic agent, an EC 4.2.1.22 (cystathionine beta-synthase) inhibitor, an EC 2.6.1.19 (4-aminobutyrate--2-oxoglutarate transaminase) inhibitor and an anticonvulsant. It is an amino acid, a member of hydroxylamines and a monocarboxylic acid. It is a conjugate acid of an (aminooxy)acetate.","11

C          1.00423        0.10207        0.14648
C          0.46100        0.60737        1.47520
O         -0.31170        1.53075        1.68784
O          0.92735       -0.10749        2.52360
O          0.63601        0.86700       -0.99745
N          1.09619        2.24165       -0.83083
H          0.62845       -0.91625       -0.00788
H          2.09915        0.05374        0.18835
H          0.51933        0.35322        3.28877
H          2.09318        2.18003       -1.02752
H          0.66849        2.69445       -1.64025
","!Put Keywords Here, check Charge and Multiplicity.
#

 

0  1
C
C  1  1.5218
O  2  1.2227  1  128.92
O  2  1.3519  1  112.23  3  179.60
O  1  1.4245  2  115.50  3  4.86
N  5  1.4592  1  109.43  2  58.62
H  1  1.0964  2  108.00  3  244.79
H  1  1.0968  2  109.73  3  127.46
H  4  0.9819  2  102.29  1  178.09
H  6  1.0181  5  103.28  1  76.97
H  6  1.0213  5  101.25  1  187.11"
3-hydroxy-4-(trimethylazaniumyl)butanoate,C[N+](C)(C)CC(CC(=O)[O-])O,Carnitine is an amino-acid betaine that is butanoate substituted with a hydroxy group at position C-3 and a trimethylammonium group at C-4. It has a role as a human metabolite and a mouse metabolite. It is functionally related to a butyrate. It is a conjugate base of a carnitinium.,"26

C          0.97854        0.25455        0.19493
N          0.47068       -1.11078        0.64403
C          1.01303       -1.28773        2.04950
C         -1.03700       -1.12569        0.63558
C          1.00475       -2.29197       -0.20958
C          0.61745       -2.28117       -1.71016
C          1.12766       -1.14683       -2.58651
C          2.64144       -0.99029       -2.50796
O          3.22059       -0.85218       -3.60408
O          3.13260       -1.04168       -1.34373
O          1.00372       -3.53529       -2.29207
H          0.68504        0.99357        0.94542
H          0.47121        0.55326       -0.71384
H          2.06365        0.24809        0.12628
H          0.66276       -0.44495        2.65348
H          0.64137       -2.22890        2.45933
H          2.10746       -1.28484        2.00308
H         -1.39149       -1.01201       -0.39223
H         -1.37926       -2.07686        1.05331
H         -1.39477       -0.28530        1.23357
H          2.07492       -2.41858       -0.02624
H          0.57220       -3.20129        0.23941
H         -0.47600       -2.29007       -1.77995
H          0.83791       -1.32408       -3.62652
H          0.65437       -0.19513       -2.35408
H          1.96072       -3.46977       -2.49162
","!Put Keywords Here, check Charge and Multiplicity.
#

 

0  1
C
N  1  1.5244
C  2  1.5168  1  104.97
C  2  1.5078  1  109.90  3  119.66
C  2  1.5521  1  113.89  3  242.90
C  5  1.5498  2  116.18  1  298.13
C  6  1.5215  5  118.63  2  63.90
C  7  1.5239  6  112.33  5  53.80
O  8  1.2474  7  115.30  6  134.10
O  8  1.2646  7  115.41  6  315.25
O  6  1.4355  5  108.61  2  189.18
H  1  1.0934  2  108.28  3  306.24
H  1  1.0828  2  109.77  3  191.78
H  1  1.0873  2  110.23  3  64.63
H  3  1.0944  2  107.88  1  57.07
H  3  1.0917  2  109.07  1  176.94
H  3  1.0954  2  108.52  1  297.98
H  4  1.0932  2  109.18  1  65.10
H  4  1.0938  2  108.62  1  185.50
H  4  1.52440  2  108.48  1  306.21
H  5  1.52441  2  109.44  1  69.09
H  5  1.52442  2  105.59  1  179.02
H  6  1.52443  5  108.12  2  301.01
H  7  1.52444  6  109.75  5  175.48
H  7  1.52445  6  112.53  5  289.87
H  11  1.52446  6  106.68  5  278.74"
"benzene-1,2-diol",C1=CC=C(C(=C1)O)O,"Catechol is a benzenediol comprising of a benzene core carrying two hydroxy substituents ortho to each other. It has a role as a genotoxin, an allelochemical and a plant metabolite. It is a conjugate acid of a catecholate(1-).","14

C         -1.91420       -0.67969       -0.00985
C         -1.90629        0.71899        0.00502
C         -0.69574        1.41203        0.01442
C          0.49502        0.70063        0.00592
C          0.49207       -0.69345       -0.00193
C         -0.71125       -1.39193       -0.00951
O          1.69940       -1.33592       -0.00275
O          1.67373        1.39040        0.00205
H         -2.86252       -1.21168       -0.02155
H         -2.84349        1.26946        0.00791
H         -0.67959        2.49753        0.02630
H         -0.73812       -2.47699       -0.01696
H          1.53056       -2.29412        0.00348
H          2.36607        0.70150       -0.01907
","!Put Keywords Here, check Charge and Multiplicity.
#

 

0  1
C
C  1  1.3988
C  2  1.3949  1  120.12
C  3  1.3871  2  119.35  1  0.14
C  4  1.3941  3  120.74  2  359.53
C  5  1.3914  4  120.26  3  0.39
O  5  1.3676  4  117.90  3  180.35
O  4  1.3657  3  118.81  2  179.37
H  1  1.0874  2  119.62  3  180.27
H  2  1.0869  1  120.10  3  179.92
H  3  1.0857  2  120.65  1  180.02
H  6  1.0854  5  121.55  4  179.92
H  7  0.9730  5  108.02  4  179.26
H  8  0.9769  4  104.81  3  180.93"
2-methyl-3-oxopropanoic acid,CC(C=O)C(=O)O,2-methyl-3-oxopropanoic acid is the 2-methyl-3-oxo derivative of propanoic acid. It is a 3-oxo monocarboxylic acid and an aldehyde. It is functionally related to a propionic acid. It is a conjugate acid of a 2-methyl-3-oxopropanoate.,"13

C          0.91984        0.04364        0.04129
C          0.36808       -0.26299       -1.34546
C          0.89197       -1.58876       -1.83267
O          0.19737       -2.51697       -2.23424
C         -1.13132       -0.19273       -1.34860
O         -1.80308        0.57503       -2.02275
O         -1.71664       -1.06332       -0.50442
H          0.60224       -0.70870        0.77199
H          0.57021        1.01981        0.39502
H          2.01518        0.05426        0.03800
H          0.73956        0.49711       -2.04450
H          1.99150       -1.67792       -1.86321
H         -2.67749       -0.99770       -0.68357
","!Put Keywords Here, check Charge and Multiplicity.
#

 

0  1
C
C  1  1.5237
C  2  1.5065  1  110.21
O  3  1.2269  2  125.08  1  126.48
C  2  1.5011  1  110.75  3  125.55
O  5  1.2228  2  125.40  1  118.97
O  5  1.3465  2  113.74  1  299.82
H  1  1.0958  2  111.33  3  298.23
H  1  1.0956  2  110.95  3  178.30
H  1  1.0954  2  111.18  3  57.90
H  2  1.0974  1  108.53  3  243.60
H  3  1.1036  2  115.25  1  303.36
H  7  0.9796  5  105.57  2  186.99"
methane,C,"Methane is a one-carbon compound in which the carbon is attached by single bonds to four hydrogen atoms. It is a colourless, odourless, non-toxic but flammable gas (b.p. -161###). It has a role as a fossil fuel, a member of greenhouse gas and a bacterial metabolite. It is a mononuclear parent hydride, a one-carbon compound, a gas molecular entity and an alkane. It is a conjugate acid of a methanide.","5

C          1.07183       -0.00214       -0.06954
H          0.70776        0.91364        0.40132
H          0.70776       -0.05224       -1.09806
H          0.70777       -0.86780        0.48811
H          2.16403       -0.00213       -0.06954
","!Put Keywords Here, check Charge and Multiplicity.
#

 

0  1
C
H  1  1.0922
H  1  1.0922  2  109.47
H  1  1.0922  2  109.47  3  240.00
H  1  1.0922  2  109.47  3  120.00"
"2,2-dichloro-N-[1,3-dihydroxy-1-(4-nitrophenyl)propan-2-yl]acetamide",C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],"2,2-dichloro-N-[1,3-dihydroxy-1-(4-nitrophenyl)propan-2-yl]acetamide is a C-nitro compound.","32

C          1.36864       -0.16848       -0.04125
C          0.87607        1.14060        0.00097
C         -0.50596        1.35738        0.05232
C         -1.39445        0.29636       -0.09062
C         -0.88923       -0.98738       -0.23254
C          0.48655       -1.25514       -0.13896
C          1.01906       -2.67779       -0.10379
C          0.50525       -3.47560        1.12750
C         -1.01660       -3.67690        1.26332
O         -1.61467       -4.33734        0.15552
N          1.16004       -4.78829        1.19105
C          1.93987       -5.29840        2.19429
O          2.33774       -6.46224        2.08440
C          2.32439       -4.44987        3.41002
Cl         3.26904       -3.02731        2.90482
Cl         0.88620       -4.00796        4.35898
O          0.73045       -3.37470       -1.31297
N         -1.04727        2.68741        0.33233
O         -0.23771        3.62175        0.45367
O         -2.27123        2.79405        0.46474
H          2.44548       -0.33033        0.01965
H          1.57729        1.97246        0.01713
H         -2.47309        0.43677       -0.07914
H         -1.62591       -1.77051       -0.36193
H          2.11689       -2.64234       -0.03824
H          0.79448       -2.88841        1.99585
H         -1.24357       -4.28260        2.14354
H         -1.52215       -2.72658        1.44990
H         -1.50362       -3.80891       -0.64746
H          0.94602       -5.43539        0.43463
H          2.96487       -5.03727        4.06778
H         -0.07366       -3.00966       -1.70581
","!Put Keywords Here, check Charge and Multiplicity.
#

 

0  1
C
C  1  1.3993
C  2  1.3999  1  119.57
C  3  1.3913  2  120.57  1  352.68
C  4  1.3869  3  118.93  2  2.50
C  1  1.4030  2  120.36  3  5.05
C  6  1.5194  1  120.21  2  183.54
C  7  1.5545  6  112.52  1  116.60
C  8  1.5411  7  117.60  6  60.82
O  9  1.4217  8  114.04  7  58.03
N  8  1.4683  7  110.22  6  186.07
C  11  1.3692  8  128.22  7  120.07
O  12  1.2349  11  118.00  8  176.00
C  12  1.5316  11  121.21  8  355.26
Cl  14  1.7808  12  110.52  11  298.73
Cl  14  1.7788  12  110.98  11  64.19
O  7  1.4252  6  111.55  1  241.76
N  3  1.4630  2  120.87  1  169.19
O  18  1.2422  3  117.47  2  3.57
O  18  1.39930  3  117.74  2  185.38
H  1  1.39931  2  118.99  3  186.06
H  2  1.39932  1  119.26  3  178.56
H  4  1.39933  3  122.26  2  181.50
H  5  1.39934  4  115.71  3  181.30
H  7  1.39935  6  108.72  1  357.76
H  8  1.39936  7  105.51  6  303.89
H  9  1.39937  8  110.40  7  177.80
H  9  1.39938  8  111.00  7  293.07
H  10  1.39939  9  110.16  8  297.68
H  11  1.39990  8  119.570  7  294.25
H  14  1.39991  12  119.571  11  181.49
H  17  1.39992  7  119.572  6  331.95"
"1,2,3,4,6,7,8,9,10,10-decachloropentacyclo[5.3.0.02,6.03,9.04,8]decan-5-one",C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl,Chlordecone is an organochlorine compound with insecticidal activity. It has a role as a persistent organic pollutant and an insecticide. It is an organochlorine compound and a cyclic ketone.,"21

C         -1.20713       -1.76815       -0.27038
O         -1.32816       -2.94139       -0.75311
C         -1.07256       -0.60098       -1.13092
C         -0.79707        0.71450       -0.42598
C         -0.85404        0.58635        1.03366
C         -0.72516       -0.99252        1.01811
C          0.69819       -0.50490        0.82736
C          0.72195       -0.98381       -0.60613
C          1.26464        0.47423       -0.82092
C          1.57554        1.81968       -0.08124
C          0.25718        1.26045        0.03666
Cl        -0.05582        1.60204       -2.31694
Cl         2.03984        3.11273       -1.20438
Cl         2.19992        2.21579        1.47355
Cl         3.16113        0.03792       -0.68277
Cl         1.59034       -2.49888       -0.96746
Cl         1.81069       -0.87752        2.14650
Cl        -1.29000       -1.94719        2.42263
Cl        -1.05894        1.57283        2.45976
Cl        -2.08313        2.35214       -0.59303
Cl        -2.99865       -0.57157       -1.11313
","!Put Keywords Here, check Charge and Multiplicity.
#

 

0  1
C
O  1  1.2744
C  1  1.4563  2  121.52
C  3  1.5177  1  115.91  2  185.92
C  4  1.4664  3  112.31  1  354.05
C  1  1.5793  2  142.20  3  205.05
C  6  1.5166  1  109.98  2  96.73
C  7  1.5116  6  91.84  1  5.14
C  8  1.5705  7  80.85  6  130.83
C  9  1.5665  8  143.26  7  356.34
C  4  1.2742  3  133.65  1  81.49
Cl  4  2.2165  3  90.66  1  161.09
Cl  10  1.7745  9  112.27  8  186.69
Cl  10  1.7217  9  134.11  8  37.15
Cl  9  1.9509  8  96.81  7  92.21
Cl  8  1.7833  7  117.97  6  257.29
Cl  7  1.7654  6  115.44  1  229.47
Cl  6  1.7897  1  106.38  2  319.42
Cl  5  1.7461  4  140.19  3  200.12
Cl  4  1.27440  3  122.05  1  239.51
Cl  3  1.27441  1  85.09  2  87.80"
2-chloroacetic acid,C(C(=O)O)Cl,Chloroacetic acid is a chlorocarboxylic acid that is acetic acid carrying a 2-chloro substituent. It has a role as an alkylating agent and a herbicide. It is a chlorocarboxylic acid and a haloacetic acid. It is functionally related to an acetic acid. It is a conjugate acid of a chloroacetate.,"8

C          1.06395        0.00579        0.07673
C          0.54294       -0.89775        1.16647
O         -0.16099       -0.61414        2.12166
O          0.95112       -2.17704        0.99584
Cl         0.51610        1.67748        0.32135
H          0.69012       -0.32990       -0.89371
H          2.15670        0.00722        0.08700
H          0.55573       -2.66102        1.75349
","!Put Keywords Here, check Charge and Multiplicity.
#

 

0  1
C
C  1  1.5084
O  2  1.2200  1  128.73
O  2  1.3536  1  111.77  3  180.00
Cl  1  1.7761  2  110.96  3  360.00
H  1  1.0928  2  109.84  3  240.89
H  1  1.0928  2  109.84  3  119.11
H  4  0.9821  2  104.30  1  180.00"
"2-chlorobenzene-1,4-diol",C1=CC(=C(C=C1O)Cl)O,Chlorohydroquinone is a benzenediol that consists of hydroquinone bearing a single chloro substituent. It has a role as a metabolite. It is a member of monochlorobenzenes and a member of chlorohydroquinones.,"14

C         -1.38754       -0.06885       -0.01867
C         -0.75290        1.17729        0.01935
C          0.64261        1.24177       -0.02439
C          1.40117        0.06845       -0.02282
C          0.76703       -1.17320        0.02290
C         -0.62292       -1.23038       -0.02082
O         -1.19789       -2.46563       -0.08083
Cl         3.12436        0.11022       -0.11912
O          1.26790        2.45796       -0.07940
H         -2.47354       -0.11189       -0.04219
H         -1.35455        2.07825        0.07400
H          1.34461       -2.08962        0.06843
H         -2.14762       -2.36732       -0.26208
H          0.60910        3.16339       -0.16936
","!Put Keywords Here, check Charge and Multiplicity.
#

 

0  1
C
C  1  1.3990
C  2  1.3977  1  119.55
C  3  1.3972  2  120.22  1  356.07
C  4  1.3950  3  120.05  2  359.98
C  1  1.3906  2  119.65  3  3.73
O  6  1.3638  1  121.65  2  181.17
Cl  4  1.7264  3  121.44  2  178.32
O  3  1.3686  2  119.90  1  175.56
H  1  1.0871  2  119.28  3  183.49
H  2  1.0848  1  119.31  3  179.49
H  5  1.0842  4  120.77  3  182.70
H  7  0.9719  6  109.18  1  9.05
H  9  0.9694  3  109.87  2  354.42"
2-hydroxyethyl(trimethyl)azanium,C[N+](C)(C)CCO,"Choline is a choline that is the parent compound of the cholines class, consisting of ethanolamine having three methyl substituents attached to the amino function. It has a role as a neurotransmitter, a nutrient, a human metabolite, a plant metabolite, a Daphnia magna metabolite, a Saccharomyces cerevisiae metabolite, an Escherichia coli metabolite, a mouse metabolite and an allergen.","21

C          0.94894       -0.23267       -0.16257
N          0.42209        0.79196       -1.16769
C          0.94496        0.40586       -2.54988
C         -1.09635        0.74853       -1.18954
C          0.94901        2.21965       -0.84862
C          0.51232        2.76688        0.52025
O          1.03299        1.96035        1.56769
H          0.74298       -1.23346       -0.55393
H          0.41636       -0.11813        0.78372
H          2.02611       -0.08586       -0.04434
H          0.58103       -0.59719       -2.79192
H          0.56888        1.13199       -3.27636
H          2.03846        0.41930       -2.52149
H         -1.47563        0.97286       -0.18947
H         -1.45378        1.48741       -1.91224
H         -1.40923       -0.25808       -1.48260
H          2.04292        2.15772       -0.89861
H          0.58924        2.87513       -1.65075
H          0.90109        3.78215        0.64536
H         -0.57537        2.81451        0.60925
H          0.37848        1.95025        2.29532
","!Put Keywords Here, check Charge and Multiplicity.
#

 

1  1
C
N  1  1.5290
C  2  1.5274  1  107.91
C  2  1.5192  1  109.55  3  118.28
C  2  1.5549  1  111.32  3  242.18
C  5  1.5375  2  114.41  1  298.07
O  6  1.4208  5  110.50  2  62.76
H  1  1.0941  2  108.24  3  310.48
H  1  1.0919  2  109.35  3  192.69
H  1  1.0935  2  108.70  3  70.29
H  3  1.0941  2  108.55  1  59.92
H  3  1.0938  2  108.39  1  179.76
H  3  1.0940  2  108.40  1  299.92
H  4  1.0928  2  109.14  1  59.33
H  4  1.0936  2  108.47  1  179.95
H  4  1.0941  2  108.42  1  300.05
H  5  1.0968  2  106.07  1  59.66
H  5  1.0966  2  106.71  1  175.92
H  6  1.0943  5  109.33  2  181.73
H  6  1.52900  5  111.77  2  300.87
H  7  1.52901  6  107.99  5  213.84"
"prop-1-ene-1,2,3-tricarboxylic acid",C(C(=CC(=O)O)C(=O)O)C(=O)O,"Aconitic acid is a tricarboxylic acid that is prop-1-ene substituted by carboxy groups at positions 1, 2 and 3. It is a conjugate acid of an aconitate(3-).","18

C          0.88994       -0.03747       -0.03731
C          0.39885        0.10179       -1.48223
C         -0.39841       -0.82489       -2.06248
C         -1.00818       -1.00952       -3.39983
O         -1.68747       -1.97404       -3.68822
O         -0.76057       -0.04342       -4.27644
C          0.91526        1.36180       -2.11480
O          1.61782        2.18000       -1.55443
O          0.53792        1.54369       -3.37756
C          0.43216       -1.26692        0.73547
O         -0.28996       -1.27352        1.71916
O          0.87381       -2.42817        0.20569
H          0.55252        0.83114        0.54476
H          1.98721       -0.03155        0.00318
H         -0.70329       -1.68224       -1.46420
H         -1.17292       -0.19978       -5.14052
H          0.86721        2.36178       -3.78603
H          0.44147       -3.13901        0.72769
","!Put Keywords Here, check Charge and Multiplicity.
#

 

0  1
C
C  1  1.5324
C  2  1.3532  1  122.07
C  3  1.4814  2  135.64  1  181.62
O  4  1.2145  3  122.93  2  178.45
O  4  1.3278  3  115.38  2  358.58
C  2  1.5015  1  111.30  3  179.97
O  7  1.2153  2  124.72  1  359.08
O  7  1.3304  2  114.65  1  179.42
C  1  1.5226  2  117.10  3  359.48
O  10  1.2203  1  126.26  2  245.17
O  10  1.3506  1  113.38  2  63.25
H  1  1.0987  2  109.22  3  238.94
H  1  1.0980  2  110.76  3  122.01
H  3  1.0890  2  117.94  1  0.96
H  6  0.9701  4  113.05  3  179.81
H  9  0.9719  7  114.70  2  179.64
H  12  0.9822  10  105.66  1  185.75"
"2-hydroxypropane-1,2,3-tricarboxylic acid",C(C(=O)O)C(CC(=O)O)(C(=O)O)O,"Citric acid is a tricarboxylic acid that is propane-1,2,3-tricarboxylic acid bearing a hydroxy substituent at position 2. It is an important metabolite in the pathway of all aerobic organisms. It has a role as a food acidity regulator, a chelator, an antimicrobial agent and a fundamental metabolite. It is a conjugate acid of a citrate(1-) and a citrate anion.","21

C          0.89233       -0.17266       -0.04592
C          0.40169       -1.51666       -0.49335
O         -0.33646       -2.28770        0.09778
O          0.82320       -1.80756       -1.74059
C          0.38976        0.21746        1.34853
C          0.89881        1.59927        1.78547
C          0.42159        2.74201        0.93414
O         -0.31297        3.64456        1.30196
O          0.88442        2.69674       -0.32719
C         -1.15394        0.18912        1.40353
O         -1.83364       -0.46456        2.17944
O         -1.73731        1.03601        0.52993
O          0.98268       -0.70435        2.28495
H          0.53032        0.52160       -0.80792
H          1.98898       -0.18510       -0.05739
H          0.42120       -2.68218       -1.92602
H          0.57352        1.79640        2.81668
H          1.99528        1.61956        1.82486
H          0.40128        3.39442       -0.81808
H         -2.70017        0.98262        0.71595
H          0.46383       -0.66407        3.11124
","!Put Keywords Here, check Charge and Multiplicity.
#

 

0  1
C
C  1  1.4991
O  2  1.2202  1  128.31
O  2  1.3483  1  111.54  3  176.66
C  1  1.5327  2  113.10  3  1.17
C  5  1.5361  1  112.28  2  180.23
C  6  1.5028  5  114.69  1  63.43
O  7  1.2204  6  125.64  5  114.67
O  7  1.3443  6  113.36  5  294.72
C  5  1.5449  1  110.82  2  303.32
O  10  1.2212  5  126.06  1  123.32
O  10  1.3493  5  113.42  1  299.99
O  5  1.4416  1  107.06  2  65.84
H  1  1.0926  2  104.66  3  239.78
H  1  1.0968  2  108.30  3  123.22
H  4  0.9803  2  103.84  1  181.69
H  6  1.0991  5  109.28  1  184.22
H  6  1.0974  5  110.98  1  299.54
H  9  0.9804  7  106.03  6  171.14
H  12  1.49910  10  105.49  5  184.80
H  13  1.49911  5  107.74  1  198.17"
chloride,[Cl-],"Chloride is a halide anion formed when chlorine picks up an electron to form an an anion. It has a role as a human metabolite, an Escherichia coli metabolite and a cofactor. It is a halide anion and a monoatomic chlorine. It is a conjugate base of a hydrogen chloride.","1

Cl         1.05565        0.04894        0.06714
","!Put Keywords Here, check Charge and Multiplicity.
#

 

-1  1
Cl"
chlorane,Cl,Chlorine atom is a halogen. It has a role as a micronutrient.,"2

Cl         0.92991        0.05114        0.02512
H          2.23572        0.05114        0.02512
","!Put Keywords Here, check Charge and Multiplicity.
#

 

0  1
Cl
H  1  1.3058"
"[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate",C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)O)O)O,Cytosine arabinoside monophosphate is a pyrimidine ribonucleoside monophosphate.,"35

C         -1.21777        0.63033        0.11451
C         -1.15459       -0.69465       -0.02098
N          0.05688       -1.36181        0.05084
C          1.24650       -0.63271        0.14323
O          2.32354       -1.21955        0.33415
N          1.20938        0.73315       -0.01254
C          0.06565        1.34898        0.00174
N          0.05259        2.70702       -0.13668
C          0.08945       -2.82980        0.15395
C          0.97353       -3.53542       -0.87746
C          1.26997       -4.86497       -0.18773
C          1.35676       -4.49156        1.29096
O          0.58810       -3.26116        1.44710
C          2.81605       -4.34041        1.78186
O          2.91184       -4.01148        3.17010
P          2.03699       -2.54639        3.45478
O          2.03520       -2.79832        4.96288
O          3.39579       -1.68489        3.19474
O          1.16214       -1.08130        3.73947
O          2.44015       -5.50115       -0.68569
O          0.35002       -3.68703       -2.14760
H         -2.13641        1.19083        0.21622
H         -2.06184       -1.27924       -0.13547
H         -0.79868        3.24820       -0.19888
H          0.92465        3.17673       -0.34909
H         -0.94253       -3.20200        0.08188
H          1.91290       -3.00876       -1.05264
H          0.44087       -5.56463       -0.33892
H          0.87277       -5.24867        1.91998
H          3.37546       -5.26994        1.64442
H          3.32416       -3.55653        1.21110
H          3.98976       -2.12539        2.56498
H          1.37455       -0.90099        4.67710
H          3.17596       -4.86071       -0.70423
H         -0.44549       -4.23639       -2.05254
","!Put Keywords Here, check Charge and Multiplicity.
#

 

0  1
C
C  1  1.3332
N  2  1.3859  1  121.06
C  3  1.3976  2  119.69  1  353.46
O  4  1.2452  3  120.05  2  174.44
N  4  1.3741  3  119.35  2  352.90
C  6  1.3002  4  119.61  3  11.44
N  7  1.3652  6  118.58  4  179.35
C  3  1.4730  2  120.20  1  168.52
C  9  1.5306  3  115.22  2  127.87
C  10  1.5272  9  102.12  3  157.29
C  11  1.5288  10  103.75  9  325.60
O  9  1.4527  3  111.55  2  247.82
C  12  1.5465  11  112.45  10  259.61
O  14  1.4305  12  113.72  11  179.16
P  15  1.7300  14  109.58  12  304.43
O  16  1.5300  15  91.55  14  171.97
O  16  1.6323  15  89.52  14  275.09
O  2  4.4311  1  91.55  3  52.05
O  11  1.33320  10  112.91  9  202.04
O  10  1.33321  9  113.41  3  279.62
H  1  1.33322  2  124.42  3  189.40
H  2  1.33323  1  120.36  3  176.88
H  8  1.33324  7  123.15  6  174.85
H  8  1.33325  7  118.25  6  7.02
H  9  1.33326  3  108.15  2  4.40
H  10  1.33327  9  112.60  3  40.61
H  11  1.33328  10  110.30  9  82.68
H  12  1.33329  11  111.27  10  139.03
H  14  1.38590  12  121.060  11  299.60
H  14  1.38591  12  121.061  11  57.50
H  18  1.38592  16  121.062  15  50.57
H  19  1.38593  16  121.063  15  142.33
H  20  1.38594  11  121.064  10  49.06
H  21  1.38595  10  121.065  9  298.05"
